Site,Date,FertiliserN,,,
1-3Oni-A,27/06/2021,32.9,,,
1-3Oni-A,11/08/2021,33,,,
1-3Oni-A,12/09/2021,39.1,,,
1-3Oni-A,15/10/2021,30,,,
1-3Oni-A,25/11/2021,39.1,,,
1-4Gra-A,1/07/2022,25.3,,,
1-4Gra-B,17/05/2023,30.4,,,
2-1Bar-A,21/10/2020,91.8,,,
2-2Oni-A,12/08/2021,30,,,
2-2Oni-A,21/09/2021,30,,,
2-2Oni-A,21/10/2021,19.25,,,
2-2Oni-A,26/11/2021,36,,,
2-2Oni-A,11/12/2021,33.75,,,
2-3Cauli-A,3/04/2022,126,,,
2-3Cauli-A,1/05/2022,54,,,
2-4Pot-B,22/12/2022,144,,,
2-4Pot-B,5/02/2023,81,,,
3-2Car-A,7/07/2021,24,,,
3-2Car-A,4/08/2021,18,,,
3-3Oni-A,11/08/2022,54,,,
3-3Oni-A,19/09/2022,30,,,
3-3Oni-A,22/10/2022,42,,,
3-3Oni-A,24/11/2022,30,,,
4-1Pot-A,1/10/2020,144,,,
4-1Pot-A,18/11/2020,63.364,,,
4-1Pot-A,24/12/2020,78,,,
4-2Caul-A,23/03/2021,117.6,,,
4-3Maize-A,21/10/2021,52.5,,,
4-3Maize-A,30/11/2021,184,,,
4-4Oni-A,16/09/2022,54,,,
4-4Oni-A,13/10/2022,35.4,,,
4-4Oni-A,18/11/2022,41.22,,,
4-4Oni-A,30/12/2022,52.5,,,
5-1Pot-A,4/11/2020,180,,,
5-1Pot-A,28/01/2021,24,,,
5-2Oni-A,10/10/2021,36,,,
5-2Oni-A,6/11/2021,36,,,
5-2Oni-A,25/11/2021,36,,,
6-1Maize-A,22/12/2020,101.439,,,
7-1BS-A,12/12/2020,28,,,
7-2Gra-A,5/04/2021,18,,,
7-3BS-B,12/12/2021,28,,,
8-0Potato,24/09/2020,46,,,
8-0Potato,24/09/2020,22,,,
8-0Potato,15/11/2020,22,,,
8-0Potato,15/11/2020,16,,,
8-0Potato,21/11/2020,24,,,
8-0Potato,20/11/2020,0.75,,,
8-0Potato,24/11/2020,33.28,,,
8-0Potato,26/11/2020,54,,,
8-0Potato,26/11/2020,0.75,,,
8-0Potato,1/12/2020,24,,,
8-0Potato,4/12/2020,32,,,
8-0Potato,12/12/2020,38.4,,,
8-0Potato,12/12/2020,0.75,,,
8-1Wheat,21/04/2021,8.4,,,
8-1Wheat,3/07/2021,4.2,,,
8-1Wheat,10/09/2021,76,,,
8-1Wheat,26/09/2021,76,,,
8-1Wheat,11/10/2021,76,,,
8-2Peas,29/09/2022,0.125,,,
8-2Peas,29/09/2022,0.63,,,
8-2Peas,30/11/2022,0.39,,,
8-2Peas,30/11/2022,0.1,,,
8-3Carrot,10/04/2023,0.82,,,
8-3Carrot,4/08/2023,0.82,,,
8-3Carrot,26/08/2023,93.8,,,
8-3Carrot,30/11/2023,53.51,,,
8-3Carrot,9/12/2023,41.85,,,
8-3Carrot,18/12/2023,13.54,,,
9-1Pumpkin,20/11/2020,38.72,,,
9-1Pumpkin,16/12/2020,27,,,
9-2TurfGrass,1/11/2021,73.6,,,
9-2TurfGrass,3/12/2021,82.8,,,
9-3Broccoli,28/12/2022,84,,,
9-3Broccoli,30/01/2023,90,,,
9-4Onion,10/08/2023,35.2,,,
9-4Onion,7/11/2023,42,,,
